,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
49,189.25,15.522905135351744,-74.99343434501459,27.150847846527142,12.622790727175163,82.52691193458118,106.0,165.4900924702774,249.0
50,190.0,15.553633450087505,54.27206191275382,18.97625674600231,14.758332211347406,84.2193000900063,106.0,162.5828947368421,239.0
51,138.5,13.279445656570912,65.88049206668967,14.674444273065298,12.496285843486884,47.33452377915607,106.0,167.33393501805054,236.0
52,214.75,16.5356642513047,34.09684216140217,19.825930975969243,14.212586549557246,58.92031021678297,106.0,163.70896391152502,234.0
53,168.75,14.658075357087599,44.933247169861396,15.8846521315179,13.803597453387901,53.45584412271572,106.0,160.62666666666667,226.0
54,130.25,12.877866698399815,35.98451453370226,14.17154610793802,11.941969558047685,44.92031021678297,106.0,152.75815738963533,210.0
55,173.25,14.85223051010746,45.741628753947,17.23838816520734,12.856337432960231,49.45584412271572,106.0,174.4963924963925,233.0
56,256.75,18.080493718666894,11.15071919654414,19.65029888507172,16.909757868312212,70.2842712474619,106.0,160.96689386562804,227.0
57,269.25,18.515392175699183,14.625717694962756,19.493209092610776,17.776857856456196,70.06244584051393,106.0,157.51996285979573,232.0
58,133.0,13.013103375051497,76.08620942686535,14.538529124765121,12.02379013885349,51.748737341529164,106.0,150.6654135338346,234.0
59,198.25,15.887722925068463,77.60574192674635,17.435051141818303,14.529495243169185,53.04163056034261,106.0,162.42875157629257,228.0
60,162.0,14.361922094451577,47.473516162597825,17.877594439896022,11.86658412370204,55.04163056034261,106.0,145.39043209876544,223.0
61,217.75,16.65076307158569,57.96791440275586,17.9463859405843,15.880683046357746,63.11269837220809,106.0,162.8507462686567,242.0
62,144.75,13.575766059431594,32.37116597683936,14.264662290649508,13.156473700044753,44.92031021678297,106.0,169.3713298791019,253.0
63,122.75,12.501606061472312,65.90518242278816,14.476367728994841,11.156276000547047,43.67766952966369,106.0,149.5173116089613,208.0
64,105.75,11.603666741842574,28.82046743388685,16.32096143372471,8.858606665478213,47.21320343559643,106.0,155.806146572104,219.0
65,223.25,16.859736900738547,-63.36609098119755,18.473943198907012,16.536031662741777,70.16295090390226,106.0,158.03135498320268,217.0
66,151.0,13.86575534383214,50.830806676609264,16.59179922353667,12.018963694671877,53.21320343559643,106.0,150.38245033112582,227.0
67,113.25,12.008096370418468,42.88582685050005,13.487118453423317,10.871424275779255,40.020815280171306,106.0,165.85651214128035,207.0
68,20.75,5.140011726956917,-1.546168502945889,7.405121099382432,3.7645165174139747,17.94974746830583,107.0,138.3012048192771,164.0
69,215.0,16.545286401814263,62.23673335683338,20.521464482548268,13.694524199758169,64.2842712474619,106.0,155.89883720930231,219.0
70,185.0,15.347615963921077,25.540812282888254,16.676644128390908,14.329377005403838,55.50609665440987,106.0,156.8054054054054,234.0
71,180.75,15.170301503624794,25.00720518498831,16.567043975900322,13.935517957530914,49.92031021678297,106.0,160.2932226832642,232.0
72,186.0,15.389040103942165,-28.0078801219154,17.361866001060655,14.123493013724422,67.57716446627535,106.0,157.2715053763441,235.0
73,153.0,13.957279475043833,39.84102729101395,15.559932436951518,13.435191331509042,63.11269837220809,106.0,168.1781045751634,241.0
74,167.25,14.592782937361742,71.09200504217873,17.268874977315896,12.614994473026988,51.577164466275356,106.0,166.63677130044843,227.0
75,131.5,12.939513133525306,-23.86771257812537,15.459651398600856,11.324077540053258,52.45584412271571,106.0,156.8954372623574,234.0
76,127.25,12.728697186576065,3.0716301870662974,16.75527011140719,10.294773339080296,45.72792206135786,106.0,144.11001964636543,224.0
77,102.25,11.410028196686037,-78.32152924639163,14.884838334748991,9.206471924953302,46.334523779156065,106.0,149.2127139364303,212.0
78,186.75,15.42003518087075,63.06815329351746,16.39483019098615,14.691690972888061,51.87005768508881,106.0,156.39491298527443,223.0
79,121.25,12.424986712231869,46.5044642481114,13.610636764552412,11.391007129679325,40.14213562373095,106.0,166.62061855670103,238.0
80,227.0,17.000746355818674,73.4617722522631,22.550473143445515,14.553741100130713,97.01219330881976,106.0,156.1376651982379,236.0
81,142.5,13.469841688927183,68.62602375414576,15.438267092433929,12.121213556311774,50.50609665440987,106.0,149.26491228070176,193.0
82,181.75,15.212208493693998,72.66103941989365,17.29856843481797,13.597625406270312,55.33452377915607,106.0,157.4181568088033,236.0
83,340.25,20.813931754864075,80.04649705168005,30.960776866613166,15.612996438070187,105.91168824543142,106.0,162.53196179279942,230.0
84,53.75,8.272643200907131,-6.084012942103503,14.414771678941833,5.158600169940598,33.19238815542512,106.0,171.22790697674418,229.0
85,129.75,12.85312533702941,32.660841964554024,14.35022647701232,11.63664176953703,45.67766952966369,106.0,156.13680154142583,232.0
86,203.5,16.096715421277896,47.75126555077918,18.223701992785887,14.71238137253263,66.40559159102153,106.0,157.83046683046683,245.0
87,162.5,14.38406847937898,53.39049832374401,15.245238467149324,13.74883237419509,54.04163056034261,106.0,159.45076923076923,234.0
88,170.5,14.733884157863644,28.812022428217354,15.928915222479121,13.794464032476087,49.748737341529164,106.0,163.5058651026393,243.0
89,171.25,14.766254502611575,34.221963960812204,16.293080311538592,13.74751555238934,50.21320343559643,106.0,157.96350364963504,214.0
90,164.75,14.48330815094114,53.35356266538631,15.758007240859001,13.466212326865799,51.62741699796952,106.0,164.3308042488619,239.0
91,4.75,2.4592453796829674,12.820507496305085,2.772349116888545,2.1478476084574902,6.707106781186548,107.0,137.57894736842104,177.0
92,126.0,12.666024736934256,48.435806151256074,15.802592080272237,10.77486286280793,48.970562748477136,106.0,159.36309523809524,224.0
93,153.0,13.957279475043833,51.04745168252196,15.989050040695686,12.94878164387895,57.87005768508881,106.0,172.0686274509804,228.0
94,215.5,16.56451393462626,50.164681584167276,18.24495959905326,15.443090533501424,78.01219330881975,106.0,158.6786542923434,245.0
95,4.75,2.4592453796829674,-77.17952468446995,2.7723491168885444,2.1478476084574902,6.707106781186548,111.0,128.42105263157896,147.0
96,114.25,12.060995729457511,39.35787125571549,14.354477905389276,10.242177415887268,40.09188309203678,107.0,166.4879649890591,239.0
97,162.0,14.361922094451577,53.79273383359882,15.764548363799495,13.190707024863094,48.09188309203678,107.0,167.7685185185185,229.0
98,186.25,15.399378727952763,59.57931300023447,16.779512103542817,14.461097515171057,63.577164466275356,106.0,157.9436241610738,249.0
